structure_id,temperature_K,distance_bin_A,count
gb_Sigma3_t1_Li_vac_c2_s1,700,1.875,741
gb_Sigma3_t1_Li_vac_c2_s1,700,2.125,300
gb_Sigma3_t1_Li_vac_c2_s1,700,2.375,91
gb_Sigma3_t1_Li_vac_c2_s1,700,2.625,36
gb_Sigma3_t1_Li_vac_c2_s1,700,2.875,15
gb_Sigma3_t1_Li_vac_c2_s1,700,3.125,9
gb_Sigma3_t1_Li_vac_c2_s1,700,3.375,1
gb_Sigma3_t1_Li_vac_c2_s1,700,3.625,0
gb_Sigma3_t1_Li_vac_c2_s1,700,3.875,0
gb_Sigma3_t1_Li_vac_c2_s1,700,4.125,0
gb_Sigma3_t1_Li_vac_c2_s1,700,4.375,1
gb_Sigma3_t1_Li_vac_c2_s1,700,4.625,0
gb_Sigma3_t1_Li_vac_c2_s1,800,1.625,2202
gb_Sigma3_t1_Li_vac_c2_s1,800,1.875,1001
gb_Sigma3_t1_Li_vac_c2_s1,800,2.125,429
gb_Sigma3_t1_Li_vac_c2_s1,800,2.375,186
gb_Sigma3_t1_Li_vac_c2_s1,800,2.625,64
gb_Sigma3_t1_Li_vac_c2_s1,800,2.875,17
gb_Sigma3_t1_Li_vac_c2_s1,800,3.125,9
gb_Sigma3_t1_Li_vac_c2_s1,800,3.375,3
gb_Sigma3_t1_Li_vac_c2_s1,800,3.625,0
gb_Sigma3_t1_Li_vac_c2_s1,800,3.875,1
gb_Sigma3_t1_Li_vac_c2_s1,800,4.125,0
gb_Sigma3_t1_Li_vac_c2_s1,900,1.625,2741
gb_Sigma3_t1_Li_vac_c2_s1,900,1.875,1422
gb_Sigma3_t1_Li_vac_c2_s1,900,2.125,621
gb_Sigma3_t1_Li_vac_c2_s1,900,2.375,284
gb_Sigma3_t1_Li_vac_c2_s1,900,2.625,125
gb_Sigma3_t1_Li_vac_c2_s1,900,2.875,39
gb_Sigma3_t1_Li_vac_c2_s1,900,3.125,14
gb_Sigma3_t1_Li_vac_c2_s1,900,3.375,7
gb_Sigma3_t1_Li_vac_c2_s1,900,3.625,4
gb_Sigma3_t1_Li_vac_c2_s1,900,3.875,0
gb_Sigma3_t1_Li_vac_c2_s2,500,1.625,633
gb_Sigma3_t1_Li_vac_c2_s2,500,1.875,231
gb_Sigma3_t1_Li_vac_c2_s2,500,2.125,116
gb_Sigma3_t1_Li_vac_c2_s2,500,2.375,33
gb_Sigma3_t1_Li_vac_c2_s2,500,2.625,7
gb_Sigma3_t1_Li_vac_c2_s2,500,2.875,6
gb_Sigma3_t1_Li_vac_c2_s2,500,3.125,3
gb_Sigma3_t1_Li_vac_c2_s2,500,3.375,1
gb_Sigma3_t1_Li_vac_c2_s2,500,3.625,0
gb_Sigma3_t1_Li_vac_c2_s2,600,1.625,1162
gb_Sigma3_t1_Li_vac_c2_s2,600,1.875,474
gb_Sigma3_t1_Li_vac_c2_s2,600,2.125,154
gb_Sigma3_t1_Li_vac_c2_s2,600,2.375,53
gb_Sigma3_t1_Li_vac_c2_s2,600,2.625,22
gb_Sigma3_t1_Li_vac_c2_s2,600,2.875,12
gb_Sigma3_t1_Li_vac_c2_s2,600,3.125,5
gb_Sigma3_t1_Li_vac_c2_s2,600,3.375,1
gb_Sigma3_t1_Li_vac_c2_s2,600,3.625,0
gb_Sigma3_t1_Li_vac_c2_s2,700,1.625,1712
gb_Sigma3_t1_Li_vac_c2_s2,700,1.875,707
gb_Sigma3_t1_Li_vac_c2_s2,700,2.125,292
gb_Sigma3_t1_Li_vac_c2_s2,700,2.375,111
gb_Sigma3_t1_Li_vac_c2_s2,700,2.625,29
gb_Sigma3_t1_Li_vac_c2_s2,700,2.875,14
gb_Sigma3_t1_Li_vac_c2_s2,700,3.125,5
gb_Sigma3_t1_Li_vac_c2_s2,700,3.375,4
gb_Sigma3_t1_Li_vac_c2_s2,700,3.625,1
gb_Sigma3_t1_Li_vac_c2_s2,700,3.875,0
gb_Sigma3_t1_Li_vac_c2_s2,800,1.625,2205
gb_Sigma3_t1_Li_vac_c2_s2,800,1.875,1060
gb_Sigma3_t1_Li_vac_c2_s2,800,2.125,435
gb_Sigma3_t1_Li_vac_c2_s2,800,2.375,200
gb_Sigma3_t1_Li_vac_c2_s2,800,2.625,57
gb_Sigma3_t1_Li_vac_c2_s2,800,2.875,30
gb_Sigma3_t1_Li_vac_c2_s2,800,3.125,12
gb_Sigma3_t1_Li_vac_c2_s2,800,3.375,3
gb_Sigma3_t1_Li_vac_c2_s2,800,3.625,1
gb_Sigma3_t1_Li_vac_c2_s2,800,3.875,0
gb_Sigma3_t1_Li_vac_c2_s2,800,4.125,1
gb_Sigma3_t1_Li_vac_c2_s2,800,4.375,0
gb_Sigma3_t1_Li_vac_c2_s2,900,1.625,2860
gb_Sigma3_t1_Li_vac_c2_s2,900,1.875,1454
gb_Sigma3_t1_Li_vac_c2_s2,900,2.125,741
gb_Sigma3_t1_Li_vac_c2_s2,900,2.375,309
gb_Sigma3_t1_Li_vac_c2_s2,900,2.625,130
gb_Sigma3_t1_Li_vac_c2_s2,900,2.875,59
gb_Sigma3_t1_Li_vac_c2_s2,900,3.125,15
gb_Sigma3_t1_Li_vac_c2_s2,900,3.375,8
gb_Sigma3_t1_Li_vac_c2_s2,900,3.625,1
gb_Sigma3_t1_Li_vac_c2_s2,900,3.875,1
gb_Sigma3_t1_Li_vac_c2_s2,900,4.125,1
gb_Sigma3_t1_Li_vac_c2_s2,900,4.375,1
gb_Sigma3_t1_Li_vac_c2_s2,900,4.625,0
gb_Sigma3_t2,500,1.625,694
gb_Sigma3_t2,500,1.875,273
gb_Sigma3_t2,500,2.125,65
gb_Sigma3_t2,500,2.375,31
gb_Sigma3_t2,500,2.625,11
gb_Sigma3_t2,500,2.875,1
gb_Sigma3_t2,500,3.125,1
gb_Sigma3_t2,500,3.375,0
gb_Sigma3_t2,600,1.625,1088
gb_Sigma3_t2,600,1.875,446
gb_Sigma3_t2,600,2.125,157
gb_Sigma3_t2,600,2.375,43
gb_Sigma3_t2,600,2.625,21
gb_Sigma3_t2,600,2.875,14
gb_Sigma3_t2,600,3.125,1
gb_Sigma3_t2,600,3.375,1
gb_Sigma3_t2,600,3.625,2
gb_Sigma3_t2,600,3.875,0
gb_Sigma3_t2,700,1.625,1685
gb_Sigma3_t2,700,1.875,724
gb_Sigma3_t2,700,2.125,279
gb_Sigma3_t2,700,2.375,95
gb_Sigma3_t2,700,2.625,38
gb_Sigma3_t2,700,2.875,14
gb_Sigma3_t2,700,3.125,1
gb_Sigma3_t2,700,3.375,1
gb_Sigma3_t2,700,3.625,2
gb_Sigma3_t2,700,3.875,2
gb_Sigma3_t2,700,4.125,0
gb_Sigma3_t2,800,1.625,2221
gb_Sigma3_t2,800,1.875,1021
gb_Sigma3_t2,800,2.125,451
gb_Sigma3_t2,800,2.375,160
gb_Sigma3_t2,800,2.625,59
gb_Sigma3_t2,800,2.875,35
gb_Sigma3_t2,800,3.125,3
gb_Sigma3_t2,800,3.375,1
gb_Sigma3_t2,800,3.625,0
gb_Sigma3_t2,800,3.875,1
gb_Sigma3_t2,800,4.125,0
gb_Sigma3_t2,900,1.625,2708
gb_Sigma3_t2,900,1.875,1377
gb_Sigma3_t2,900,2.125,649
gb_Sigma3_t2,900,2.375,265
gb_Sigma3_t2,900,2.625,110
gb_Sigma3_t2,900,2.875,47
gb_Sigma3_t2,900,3.125,14
gb_Sigma3_t2,900,3.375,4
gb_Sigma3_t2,900,3.625,2
gb_Sigma3_t2,900,3.875,0
gb_Sigma3_t2_Li_vac_c1_s1,500,1.625,690
gb_Sigma3_t2_Li_vac_c1_s1,500,1.875,247
gb_Sigma3_t2_Li_vac_c1_s1,500,2.125,81
gb_Sigma3_t2_Li_vac_c1_s1,500,2.375,18
gb_Sigma3_t2_Li_vac_c1_s1,500,2.625,9
gb_Sigma3_t2_Li_vac_c1_s1,500,2.875,4
gb_Sigma3_t2_Li_vac_c1_s1,500,3.125,4
gb_Sigma3_t2_Li_vac_c1_s1,500,3.375,1
gb_Sigma3_t2_Li_vac_c1_s1,500,3.625,0
gb_Sigma3_t2_Li_vac_c1_s1,500,3.875,1
gb_Sigma3_t2_Li_vac_c1_s1,500,4.125,0
gb_Sigma3_t2_Li_vac_c1_s1,600,1.625,1140
gb_Sigma3_t2_Li_vac_c1_s1,600,1.875,405
