structure_id,temperature_K,run_name,li_count,nframes,trajectory_time_ps,d_tracer_cm2_s,d_tracer_err_cm2_s,log10_d_tracer,msd_last_A2
bulk_ordered,800,md_800K_20000steps,192,201,20.0,1.408559762561009e-05,2.099869929625844e-06,-4.8512247219832405,21.93037150366023
bulk_ordered,900,md_900K_20000steps,192,201,20.0,2.2704233911343757e-05,5.988040687508135e-06,-4.643893147526024,31.72654929850667
gb_Sigma3_t1,500,md_500K_20000steps,288,201,20.0,6.54820170746379e-06,1.4475211162523557e-06,-5.183877951268455,15.296703593062887
gb_Sigma3_t1,600,md_600K_20000steps,288,201,20.0,1.141194779818503e-05,1.8435527752018034e-06,-4.942640223609076,21.48839092637916
gb_Sigma3_t1,700,md_700K_20000steps,288,201,20.0,1.5347162950858228e-05,2.1632081040833384e-06,-4.813971895669753,26.898517446753473
gb_Sigma3_t1,800,md_800K_20000steps,288,201,20.0,2.467292262376767e-05,4.574027729845382e-06,-4.607779403238438,41.51582902440979
gb_Sigma3_t1,900,md_900K_20000steps,288,201,20.0,4.497266661579006e-05,4.660037616218321e-06,-4.347051360548845,59.87419921711502
gb_Sigma3_t1_Li_vac_c1_s1,500,md_500K_20000steps,287,201,20.0,4.630818775609422e-06,1.4570074502248558e-06,-5.334342214534681,12.946125489525071
gb_Sigma3_t1_Li_vac_c1_s1,600,md_600K_20000steps,287,201,20.0,1.562674188985775e-05,2.1640718650619487e-06,-4.806131561120582,19.55776988186222
gb_Sigma3_t1_Li_vac_c1_s1,700,md_700K_20000steps,287,201,20.0,1.9260206641591484e-05,3.2905800618357525e-06,-4.715339057667274,28.926554860584705
gb_Sigma3_t1_Li_vac_c1_s1,800,md_800K_20000steps,287,201,20.0,2.3491805954034775e-05,1.667095253614076e-06,-4.6290835951541265,38.924905400014225
gb_Sigma3_t1_Li_vac_c1_s1,900,md_900K_20000steps,287,201,20.0,4.528644750985338e-05,2.2824502271866307e-06,-4.344031746161369,58.60153339073177
gb_Sigma3_t1_Li_vac_c1_s2,500,md_500K_20000steps,287,201,20.0,7.067279458897651e-06,2.6315007855866346e-06,-5.150747735194752,19.25850784904707
gb_Sigma3_t1_Li_vac_c1_s2,600,md_600K_20000steps,287,201,20.0,4.674947746874791e-06,1.019039534400075e-06,-5.3302232389884185,20.13515911938575
gb_Sigma3_t1_Li_vac_c1_s2,700,md_700K_20000steps,287,201,20.0,1.5287074778714133e-05,2.3147688107672454e-06,-4.815675610009715,33.34888290955865
gb_Sigma3_t1_Li_vac_c1_s2,800,md_800K_20000steps,287,201,20.0,2.211147593070142e-05,3.6640817412865134e-07,-4.655382267499713,39.646017649392036
gb_Sigma3_t1_Li_vac_c1_s2,900,md_900K_20000steps,287,201,20.0,4.6375522481327763e-05,3.31080129553627e-06,-4.33371118445012,63.71823540716801
gb_Sigma3_t1_Li_vac_c2_s1,500,md_500K_20000steps,286,201,20.0,6.668297133498135e-06,2.0337573009117827e-06,-5.175985056629942,16.79811520170106
gb_Sigma3_t1_Li_vac_c2_s1,600,md_600K_20000steps,286,201,20.0,1.2994955158286648e-05,1.977209943667777e-06,-4.886225214781073,27.037630330200184
gb_Sigma3_t1_Li_vac_c2_s1,700,md_700K_20000steps,286,201,20.0,1.4619336237285517e-05,4.2619909984886466e-07,-4.835072345232346,33.95432391754681
gb_Sigma3_t1_Li_vac_c2_s1,800,md_800K_20000steps,286,201,20.0,3.2064410642557816e-05,2.6935005918536168e-06,-4.4939767381898195,49.50824384700153
gb_Sigma3_t1_Li_vac_c2_s1,900,md_900K_20000steps,286,201,20.0,4.276917287384134e-05,1.1183784644667209e-05,-4.368869148616231,63.25410733073721
gb_Sigma3_t1_Li_vac_c2_s2,500,md_500K_20000steps,286,201,20.0,1.0171389453887201e-05,1.3915686645235786e-06,-4.9926197166014905,19.534440132680576
gb_Sigma3_t1_Li_vac_c2_s2,600,md_600K_20000steps,286,201,20.0,1.2652064016790307e-05,5.502613956739147e-07,-4.897838619311765,29.391287228508304
